date,time,opponent
10/17/2024,7:30 PM,San Jose
10/19/2024,7:00 PM,Buffalo
10/22/2024,7:15 PM,Vancouver
10/25/2024,7:30 PM,Nashville
11/6/2024,7:00 PM,Detroit
11/10/2024,6:00 PM,Minnesota
11/19/2024,7:30 PM,Anaheim
11/21/2024,7:30 PM,Florida
11/27/2024,7:30 PM,Dallas
12/1/2024,7:30 PM,Columbus
12/4/2024,7:30 PM,Boston
12/7/2024,7:00 PM,Winnipeg
12/15/2024,6:00 PM,N.Y. Islanders
12/17/2024,2:00 PM,Washington
12/19/2024,7:30 PM,Seattle
12/29/2024,7:30 PM,Dallas
12/31/2024,8:00 PM,St. Louis
1/3/2025,7:00 PM,Montreal
1/5/2025,2:00 PM,N.Y. Rangers
1/8/2025,6:30 PM,Colorado
1/11/2025,6:00 PM,Edmonton
1/13/2025,6:30 PM,Calgary
1/18/2025,7:00 PM,Vegas
1/20/2025,7:30 PM,Carolina
1/24/2025,6:30 PM,Tampa Bay
1/26/2025,6:00 PM,Minnesota
2/5/2025,8:30 PM,Edmonton
2/7/2025,7:30 PM,Nashville
2/23/2025,6:00 PM,Toronto
3/3/2025,7:30 PM,Los Angeles
3/5/2025,6:30 PM,Ottawa
3/7/2025,7:30 PM,Utah
3/18/2025,7:30 PM,Seattle
3/20/2025,7:30 PM,Los Angeles
3/23/2025,2:00 PM,Philadelphia
3/26/2025,6:30 PM,New Jersey
3/28/2025,7:30 PM,Vegas
3/30/2025,3:00 PM,Utah
4/2/2025,8:30 PM,Colorado
4/6/2025,5:00 PM,Pittsburgh
4/12/2025,6:00 PM,Winnipeg
